# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-26 15:32:09 -04:00	(natwebcaas01)
#
# Data for the following 108 site(s) are contained in this file
#    USGS 09379200 CHINLE CREEK NEAR MEXICAN WATER, AZ
#    USGS 09380000 COLORADO RIVER AT LEES FERRY, AZ
#    USGS 09382000 PARIA RIVER AT LEES FERRY, AZ
#    USGS 09384000 LITTLE COLORADO R ABV LYMAN LAKE NR ST. JOHNS, AZ
#    USGS 09384600 LYMAN LAKE NEAR ST. JOHNS, AZ
#    USGS 09385700 LITTLE COLORADO RIVER BELOW SALADO SPRINGS, AZ
#    USGS 09386030 LITTLE COLORADO RVR ABV ZION RES. NR ST. JOHNS, AZ
#    USGS 09390500 SHOW LOW CREEK NEAR LAKESIDE, AZ
#    USGS 09397500 CHEVELON FORK BELOW WILDCAT CANYON, NR WINSLOW, AZ
#    USGS 09400350 LITTLE COLORADO RIVER NEAR WINSLOW, AZ
#    USGS 09400815 NEWMAN CANYON ABOVE UPPER LAKE MARY, AZ
#    USGS 09401260 MOENKOPI WASH AT MOENKOPI, AZ
#    USGS 09401265 PASTURE CANYON SPRINGS NEAR TUBA CITY, AZ
#    USGS 09402300 LITTLE COLORADO RIVER ABV MOUTH NR DESERT VIEW, AZ
#    USGS 09402500 COLORADO RIVER NEAR GRAND CANYON, AZ
#    USGS 09404104 CATARACT CREEK AT REDLANDS CROSSING NEAR VALLE, AZ
#    USGS 09404110 HAVASU CREEK AT SUPAI, AZ
#    USGS 09404208 DIAMOND CREEK NEAR PEACH SPRINGS, AZ
#    USGS 09413700 VIRGIN RV ABV THE NARROWS NR LITTLEFIELD, AZ
#    USGS 09423550 TOPOCK MARSH INLET NEAR NEEDLES, CA
#    USGS 09424380 TROUT CREEK ABOVE KNIGHT CREEK, NEAR WIKIEUP, AZ
#    USGS 09424425 BIG SANDY RIVER AT US 93 BRIDGE, NEAR WIKIEUP, AZ
#    USGS 09424447 BURRO CREEK AT OLD US 93 BRIDGE, NEAR BAGDAD, AZ
#    USGS 09424450 BIG SANDY RIVER NEAR WIKIEUP, AZ
#    USGS 09424900 SANTA MARIA RIVER NEAR BAGDAD, AZ
#    USGS 09428500 CRIR MAIN CANAL NEAR PARKER, AZ
#    USGS 09429030 PALO VERDE DRAIN NEAR PARKER, AZ
#    USGS 09442000 GILA RIVER NEAR CLIFTON, AZ
#    USGS 09444200 BLUE RIVER NEAR CLIFTON, AZ.
#    USGS 09444500 SAN FRANCISCO RIVER AT CLIFTON, AZ.
#    USGS 09446320 EAGLE CREEK AT EAGLE SCHOOL RD, NEAR MORENCI, AZ
#    USGS 09446500 EAGLE CREEK NR DOUBLE CIRCLE RANCH, NR MORENCI, AZ
#    USGS 09447000 EAGLE CREEK ABOVE PUMPING PLANT, NEAR MORENCI, AZ.
#    USGS 09466500 GILA RIVER AT CALVA, AZ.
#    USGS 09469500 GILA RIVER BELOW COOLIDGE DAM, AZ.
#    USGS 09470375 MONTEZUMA CYN BLW SPARK'S SPR AT CORONADO N.MEM,AZ
#    USGS 09470380 MONTEZUMA CANYON WASH AT CORONADO NATL MEMORIAL,AZ
#    USGS 09470920 SAN PEDRO AT LEWIS SPRINGS
#    USGS 09471000 SAN PEDRO RIVER AT CHARLESTON, AZ.
#    USGS 09471380 UPPER BABOCOMARI RIVER NEAR HUACHUCA CITY, AZ
#    USGS 09471400 BABOCOMARI RIVER NEAR TOMBSTONE, AZ.
#    USGS 09471580 SAN PEDRO RIVER AT ST DAVID, AZ
#    USGS 09472050 SAN PEDRO R AT REDINGTON BRIDGE NR REDINGTON, AZ
#    USGS 09475500 FLORENCE-CASA GRANDE CANAL, NEAR FLORENCE, AZ.
#    USGS 09478500 QUEEN CREEK BELOW WHITLOW DAM NR SUPERIOR, AZ.
#    USGS 09480000 SANTA CRUZ RIVER NEAR LOCHIEL, AZ
#    USGS 09480500 SANTA CRUZ RIVER NEAR NOGALES, AZ.
#    USGS 09481000 NOGALES WASH AT NOGALES, AZ
#    USGS 09482000 SANTA CRUZ RIVER AT CONTINENTAL, AZ
#    USGS 09484000 SABINO CREEK NEAR TUCSON, AZ
#    USGS 09484500 TANQUE VERDE CREEK AT TUCSON, AZ.
#    USGS 09484550 CIENEGA CREEK NEAR SONOITA, AZ.
#    USGS 09484600 PANTANO WASH NEAR VAIL, AZ.
#    USGS 09485000 RINCON CREEK NEAR TUCSON, AZ.
#    USGS 09485450 PANTANO WASH AT BROADWAY BLVD. AT TUCSON, AZ.
#    USGS 09486055 RILLITO CREEK AT LA CHOLLA BLVD NEAR TUCSON, AZ.
#    USGS 09487000 BRAWLEY WASH NEAR THREE POINTS, AZ.
#    USGS 09489000 SANTA CRUZ RIVER NEAR LAVEEN, AZ.
#    USGS 09497700 CIBECUE CREEK NEAR OVERGAARD, AZ
#    USGS 09498400 PINAL CREEK AT INSPIRATION DAM, NR GLOBE, AZ.
#    USGS 09499000 TONTO CREEK ABOVE GUN CREEK, NEAR ROOSEVELT, AZ
#    USGS 09501150 FISH CREEK NEAR TORTILLA FLAT, AZ
#    USGS 09502000 SALT RIVER BLW STEWART MOUNTAIN DAM, AZ.
#    USGS 09502800 WILLIAMSON VALLEY WASH NEAR PAULDEN, AZ
#    USGS 09502830 BIG CHINO WASH AT PAULDEN, AZ
#    USGS 09503300 GRANITE CREEK BELOW WATSON LAKE NEAR PRESCOTT, AZ
#    USGS 09503700 VERDE RIVER NEAR PAULDEN, AZ
#    USGS 09504000 VERDE RIVER NEAR CLARKDALE, AZ
#    USGS 09504500 OAK CREEK NEAR CORNVILLE, AZ
#    USGS 09504950 VERDE RIVER ABOVE CAMP VERDE, AZ
#    USGS 09506000 VERDE RIVER NEAR CAMP VERDE, AZ
#    USGS 09508300 WET BOTTOM CREEK NEAR CHILDS, AZ
#    USGS 09508500 VERDE RVR BLW TANGLE CREEK, ABV HORSESHOE DAM, AZ
#    USGS 09511300 VERDE RIVER NEAR SCOTTSDALE, AZ
#    USGS 09512280 CAVE CREEK BLW COTTONWOOD CR NEAR CAVE CREEK, AZ.
#    USGS 09512450 AGUA FRIA RIVER NEAR HUMBOLDT, AZ
#    USGS 09514100 GILA RIVER AT ESTRELLA PARKWAY, NEAR GOODYEAR, AZ
#    USGS 09517000 HASSAYAMPA RIVER NEAR ARLINGTON, AZ
#    USGS 09517490 CENTENNIAL WASH AT SOUTHERN PACIFIC RAILROAD BRDG
#    USGS 09519000 ENTERPRISE CANAL AT GILLESPIE DAM, AZ
#    USGS 09522005 COLORADO RIVER BELOW COOPER WASTEWAY NEAR YUMA, AZ
#    USGS 09522400 MITTRY LAKE DIVERSION AT IMPERIAL DAM, AZ
#    USGS 09522600 NORTH GILA MAIN CANAL NEAR YUMA, AZ
#    USGS 09522650 NORTH GILA MAIN CANAL NO. 2 NEAR YUMA, AZ
#    USGS 09522660 GILA MONSTER FARMS TURNOUT NO. 1 NEAR YUMA, AZ
#    USGS 09522680 GILA MONSTER FARMS TURNOUT NO. 2 NEAR YUMA, AZ
#    USGS 09522720 YUMA IRRIGATION DISTRICT 16.4 N. LATERAL
#    USGS 09522800 SOUTH GILA MAIN CANAL NEAR YUMA, AZ
#    USGS 09522850 GILA GRAVITY CANAL AT YUMA-MESA PUMPING PLANT, AZ
#    USGS 09522860 CITY OF YUMA DIVERSION AT AVENUE 9E PUMPING PLANT
#    USGS 09522880 MCAS DIVERSION OF B CANAL NEAR YUMA, AZ
#    USGS 09522900 UNIT B CANAL NEAR YUMA, AZ
#    USGS 09525500 YUMA MAIN CANAL BLW COLORADO R. SIPHON AT YUMA, AZ
#    USGS 09526000 DIVERSION FROM YUMA MAIN CANAL FOR YUMA MUNICIPAL
#    USGS 09528800 LEVEE CANAL WASTEWAY NEAR YUMA, AZ
#    USGS 09529420 SOUTH GILA TERMINAL CANAL WASTEWAY NR YUMA, AZ
#    USGS 09530100 CITY OF YUMA INFLOW TO SEWAGE TREATMENT PLANT
#    USGS 09534000 YUMA MAIN DRAIN ABOVE ARIZONA-SONORA BOUNDARY
#    USGS 09534550 242 LATERAL ABOVE MAIN DRAIN AT AZ-SONORA BOUNDRY
#    USGS 09535900 QUITOBAQUITO SPRING NEAR LUKEVILLE, AZ
#    USGS 09537200 LESLIE CREEK NEAR MCNEAL, AZ.
#    USGS 09537500 WHITEWATER DRAW NEAR DOUGLAS, AZ.
#    USGS 332153112022300 UNNAMED WASH AT HEARD SCOUT PUEBLO NEAR PHOENIX,AZ
#    USGS 335707110144000 JUNCTION TANK PRECIP NEAR CARRIZO, AZ
#    USGS 340406110122400 SNAKE RIDGE POINT PRECIP NEAR CARRIZO, AZ
#    USGS 345557112294501 B-18-02 20DBB [PILOTS REST]
#    USGS 365403112452801 B-40-04 06AAC1 [Kaibab-Paiute Well]
#    USGS 365602112460201 B-41-04 19CDC UNSURV [PVC Well]
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 09379200
#    TS_ID       Parameter Description
#    6125        00045     Precipitation, total, inches
#    6124        00060     Discharge, cubic feet per second
#    6123        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6125_00045	6125_00045_cd	6124_00060	6124_00060_cd	6123_00065	6123_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09379200	2021-03-26 12:00	MST	0.00	P	1.45	P	1.87	P
# Data provided for site 09380000
#    TS_ID       Parameter Description
#    6130        00010     Temperature, water, degrees Celsius
#    6132        00045     Precipitation, total, inches
#    6128        00060     Discharge, cubic feet per second
#    6129        00065     Gage height, feet
#    6131        00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6130_00010	6130_00010_cd	6132_00045	6132_00045_cd	6128_00060	6128_00060_cd	6129_00065	6129_00065_cd	6131_00095	6131_00095_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	09380000	2021-03-26 12:00	MST	8.0	P	0.00	P	14000	P	9.58	P	630	P
# Data provided for site 09382000
#    TS_ID       Parameter Description
#    6145        00060     Discharge, cubic feet per second
#    260670      00065     Gage height, feet, [Right-bank Radar (Primary)]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6145_00060	6145_00060_cd	260670_00065	260670_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09382000	2021-03-26 12:00	MST	10.1	P	4.51	P
# Data provided for site 09384000
#    TS_ID       Parameter Description
#    6190        00060     Discharge, cubic feet per second
#    6188        00065     Gage height, feet, [Backup Stage Sensor]
#    6189        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6190_00060	6190_00060_cd	6188_00065	6188_00065_cd	6189_00065	6189_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09384000	2021-03-26 12:15	MST	1.46	P	1.82	P	1.64	P
# Data provided for site 09384600
#    TS_ID       Parameter Description
#    6194        00045     Precipitation, total, inches
#    6192        00054     Reservoir storage, acre-feet
#    6193        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6194_00045	6194_00045_cd	6192_00054	6192_00054_cd	6193_00065	6193_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09384600	2021-03-26 12:15	MST	0.00	P	7259	P	5959.59	P
# Data provided for site 09385700
#    TS_ID       Parameter Description
#    6195        00060     Discharge, cubic feet per second
#    6196        00065     Gage height, feet
#    6198        00065     Gage height, feet, [CBS Bubbler]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6195_00060	6195_00060_cd	6196_00065	6196_00065_cd	6198_00065	6198_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09385700	2021-03-26 12:15	MST	1.18	P	8.89	P	8.90	P
# Data provided for site 09386030
#    TS_ID       Parameter Description
#    6203        00045     Precipitation, total, inches
#    6201        00060     Discharge, cubic feet per second
#    6200        00065     Gage height, feet, [Primary Stage]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6203_00045	6203_00045_cd	6201_00060	6201_00060_cd	6200_00065	6200_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09386030	2021-03-26 12:15	MST	0.00	P	0.00	P	0.95	P
# Data provided for site 09390500
#    TS_ID       Parameter Description
#    6209        00060     Discharge, cubic feet per second
#    6210        00065     Gage height, feet, [Encoder]
#    166062      00065     Gage height, feet, [Bubbler]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6209_00060	6209_00060_cd	6210_00065	6210_00065_cd	166062_00065	166062_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09390500	2021-03-26 12:15	MST	0.24	P	0.58	P	0.56	P
# Data provided for site 09397500
#    TS_ID       Parameter Description
#    6229        00045     Precipitation, total, inches
#    6227        00060     Discharge, cubic feet per second
#    6228        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6229_00045	6229_00045_cd	6227_00060	6227_00060_cd	6228_00065	6228_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09397500	2021-03-26 12:15	MST	0.00	P	0.00	P	1.00	P
# Data provided for site 09400350
#    TS_ID       Parameter Description
#    6244        00060     Discharge, cubic feet per second
#    239485      00065     Gage height, feet, SR-87 Bridge, [SR 87 Radar]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6244_00060	6244_00060_cd	239485_00065	239485_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09400350	2021-03-26 12:00	MST	55.8	P	10.82	P
# Data provided for site 09400815
#    TS_ID       Parameter Description
#    6261        00045     Precipitation, total, inches
#    6259        00060     Discharge, cubic feet per second
#    6260        00065     Gage height, feet
#    6262        70969     DCP battery voltage, volts
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6261_00045	6261_00045_cd	6259_00060	6259_00060_cd	6260_00065	6260_00065_cd	6262_70969	6262_70969_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	09400815	2021-03-26 12:00	MST	0.01	P	0.47	P	0.62	P	14.3	P
# Data provided for site 09401260
#    TS_ID       Parameter Description
#    6270        00060     Discharge, cubic feet per second
#    6269        00065     Gage height, feet, [Radar]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     Ice  Value is affected by ice at the measurement site.
#
agency_cd	site_no	datetime	tz_cd	6270_00060	6270_00060_cd	6269_00065	6269_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09401260	2021-03-26 12:00	MST	Ice	P	15.07	P
# Data provided for site 09401265
#    TS_ID       Parameter Description
#    6271        00060     Discharge, cubic feet per second
#    6272        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6271_00060	6271_00060_cd	6272_00065	6272_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09401265	2021-03-26 12:00	MST	0.00	P	1.99	P
# Data provided for site 09402300
#    TS_ID       Parameter Description
#    6283        00010     Temperature, water, degrees Celsius, [FTS, Water Temp.]
#    6278        00060     Discharge, cubic feet per second
#    6288        00065     Gage height, feet, [FTS, RADAR]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6283_00010	6283_00010_cd	6278_00060	6278_00060_cd	6288_00065	6288_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09402300	2021-03-26 12:00	MST	16.5	P	225	P	5.29	P
# Data provided for site 09402500
#    TS_ID       Parameter Description
#    6290        00060     Discharge, cubic feet per second
#    242876      00065     Gage height, feet, STONE HOUSE
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6290_00060	6290_00060_cd	242876_00065	242876_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09402500	2021-03-26 12:15	MST	17800	P	10.83	P
# Data provided for site 09404104
#    TS_ID       Parameter Description
#    6303        00045     Precipitation, total, inches
#    6301        00060     Discharge, cubic feet per second
#    6302        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6303_00045	6303_00045_cd	6301_00060	6301_00060_cd	6302_00065	6302_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09404104	2021-03-26 12:15	MST	0.00	P	0.00	P	3.95	P
# Data provided for site 09404110
#    TS_ID       Parameter Description
#    6314        00060     Discharge, cubic feet per second
#    6315        00065     Gage height, feet
#    6316        70969     DCP battery voltage, volts
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6314_00060	6314_00060_cd	6315_00065	6315_00065_cd	6316_70969	6316_70969_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09404110	2021-03-26 12:00	MST	63.7	P	14.75	P	14.7	P
# Data provided for site 09404208
#    TS_ID       Parameter Description
#    6331        00045     Precipitation, total, inches
#    6329        00060     Discharge, cubic feet per second
#    6328        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	6331_00045	6331_00045_cd	6329_00060	6329_00060_cd	6328_00065	6328_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09404208	2021-03-26 12:15	MST	0.00	P	4.84	P	7.68	P
# Data provided for site 09413700
#    TS_ID       Parameter Description
#    103591      00060     Discharge, cubic feet per second
#    103590      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103591_00060	103591_00060_cd	103590_00065	103590_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09413700	2021-03-26 12:20	PDT	49.4	P	16.73	P
# Data provided for site 09423550
#    TS_ID       Parameter Description
#    6344        00060     Discharge, cubic feet per second
#    6345        00065     Gage height, feet
#    6347        72255     Mean water velocity for discharge computation, feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	tz_cd	6344_00060	6344_00060_cd	6345_00065	6345_00065_cd	6347_72255	6347_72255_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
