# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-26 15:26:52 -04:00	(natwebcaas01)
#
# Data-value grade codes included in this output:
#    99    IV verified by USGS, no comparison
#
# Data for the following 97 site(s) are contained in this file
#    USGS 07199450 LAKE MALOYA NR RATON NM
#    USGS 07202500 EAGLE TAIL DITCH NR MAXWELL, NM
#    USGS 07203000 VERMEJO RIVER NEAR DAWSON, NM
#    USGS 07205500 EAGLE NEST LAKE NR EAGLE NEST, NM
#    USGS 07206000 CIMARRON RIVER BELOW EAGLE NEST DAM, NM
#    USGS 07207500 PONIL CREEK NEAR CIMARRON, NM
#    USGS 07211500 CANADIAN RIVER NEAR TAYLOR SPRINGS, NM
#    USGS 07214670 CANONCITO DITCH NEAR HOLMAN, NM
#    USGS 07214680 LA SIERRA DITCH NEAR HOLMAN, NM
#    USGS 07215500 MORA RIVER AT LA CUEVA, NM
#    USGS 07216500 MORA RIVER NEAR GOLONDRINAS, NM
#    USGS 07221500 CANADIAN RIVER NEAR SANCHEZ, NM
#    USGS 07223500 CONCHAS LAKE AT CONCHAS DAM N. MEX.
#    USGS 07226500 UTE CREEK NEAR LOGAN, NM
#    USGS 07227000 CANADIAN RIVER AT LOGAN, NM
#    USGS 07227100 REVUELTO CREEK NEAR LOGAN, NM
#    USGS 08254000 COSTILLA CREEK BELOW COSTILLA DAM, NM
#    USGS 08261000 COSTILLA CREEK NEAR GARCIA, CO
#    USGS 08265000 RED RIVER NEAR QUESTA, NM
#    USGS 08266820 RED RIVER BELOW FISH HATCHERY, NEAR QUESTA, NM
#    USGS 08267500 RIO HONDO NEAR VALDEZ, NM
#    USGS 08271000 RIO LUCERO NEAR ARROYO SECO, NM
#    USGS 08275500 RIO GRANDE DEL RANCHO NEAR TALPA, NM
#    USGS 08277470 RIO PUEBLO NR PENASCO, NM
#    USGS 08279500 RIO GRANDE AT EMBUDO, NM
#    USGS 08286500 RIO CHAMA ABOVE ABIQUIU RESERVOIR, NM
#    USGS 08287000 RIO CHAMA BELOW ABIQUIU DAM, NM
#    USGS 08289000 RIO OJO CALIENTE AT LA MADERA, NM
#    USGS 08290000 RIO CHAMA NEAR CHAMITA, NM
#    USGS 08294200 NAMBE FALLS RESERVOIR NEAR NAMBE, NM
#    USGS 08308050 RIO TESUQUE BELOW DIVERSIONS NEAR SANTA FE, NM
#    USGS 08313000 RIO GRANDE AT OTOWI BRIDGE, NM
#    USGS 08313500 COCHITI EAST SIDE MAIN CANAL AT COCHITI, NM
#    USGS 08315480 SANTA FE RIVER ABOVE MCCLURE RES, NR SANTA FE, NM
#    USGS 08317200 SANTA FE RIVER ABOVE COCHITI LAKE, NM
#    USGS 08317400 RIO GRANDE BELOW COCHITI DAM, NM
#    USGS 08319000 RIO GRANDE AT SAN FELIPE, NM
#    USGS 08329700 CAMPUS WASH AT ALBUQUERQUE, NM
#    USGS 08329835 N. FLOODWAY CHANNEL AT ALBUQUERQUE, NM
#    USGS 08329840 HAHN ARROYO IN ALBUQUERQUE, NM
#    USGS 08329900 NORTH FLOODWAY CHANNEL NEAR ALAMEDA, NM
#    USGS 08329928 RIO GRANDE NR ALAMEDA, NM
#    USGS 08330000 RIO GRANDE AT ALBUQUERQUE, NM
#    USGS 08330600 TIJERAS ARROYO NR ALBUQUERQUE, NM
#    USGS 08330775 SOUTH DIV CHANNEL ABV TIJERAS ARROYO NR ALBQ., NM
#    USGS 08330830 RIO GRANDE AT VALLE DE ORO, NM
#    USGS 08330875 RIO GRANDE AT ISLETA LAKES NR ISLETA, NM
#    USGS 08331160 RIO GRANDE NEAR BOSQUE FARMS, NM
#    USGS 08331510 RIO GRANDE AT STATE HWY 346 NEAR BOSQUE, NM
#    USGS 08341400 BLUEWATER LAKE NEAR BLUEWATER, NM
#    USGS 08353000 RIO PUERCO NEAR BERNARDO, NM
#    USGS 08361000 RIO GRANDE BELOW ELEPHANT BUTTE DAM, NM
#    USGS 08378500 PECOS RIVER NEAR PECOS, NM
#    USGS 08379500 PECOS RIVER NEAR ANTON CHICO, NM
#    USGS 08382000 GALLINAS RIVER NEAR LOURDES, NM
#    USGS 08382500 GALLINAS R NR COLONIAS, NM
#    USGS 08382600 PECOS R ABV CANON DEL UTA NR COLONIAS, NM
#    USGS 08390500 RIO HONDO AT DIAMOND A RANCH NR ROSWELL, NM
#    USGS 08390800 RIO HONDO BLW DIAMOND A DAM NR ROSWELL, NM
#    USGS 08394500 RIO FELIX AT OLD HWY BRD NR HAGERMAN, NM
#    USGS 08399500 PECOS RIVER (KAISER CHANNEL) NEAR LAKEWOOD, NM
#    USGS 08401450 BRANTLEY LAKE NEAR CARLSBAD, NM
#    USGS 08403500 CARLSBAD MAIN CANAL AT HEAD NEAR CARLSBAD, NM
#    USGS 08404000 PECOS RIVER BELOW AVALON DAM, NM
#    USGS 08405350 BLACK RIVER BELOW BLUE SPRINGS NR WHITES CITY, NM
#    USGS 08405400 BLACK RIVER AT HARKEY CROSSING NR MALAGA, NM
#    USGS 08406500 PECOS RIVER NEAR MALAGA, NM
#    USGS 08407500 PECOS RIVER AT RED BLUFF, NM
#    USGS 08408500 DELAWARE RIVER NR RED BLUFF, NM
#    USGS 08477110 MIMBRES RIVER AT MIMBRES, NM
#    USGS 08481500 TULAROSA CREEK NEAR BENT, NM
#    USGS 09364010 ANIMAS RIVER BELOW AZTEC, NM
#    USGS 09364200 ANIMAS RIVER AT PENNY LANE NEAR FLORA VISTA, NM
#    USGS 09365000 SAN JUAN RIVER AT FARMINGTON, NM
#    USGS 09367000 LA PLATA RIVER AT LA PLATA, NM
#    USGS 09367500 LA PLATA RIVER NEAR FARMINGTON, NM
#    USGS 09367540 SAN JUAN R NR FRUITLAND, NM
#    USGS 09368000 SAN JUAN RIVER AT SHIPROCK, NM
#    USGS 09386189 ZUNI SALT LAKE NR QUEMADO, NM
#    USGS 09430010 WEST FORK GILA RIVER AT GILA CLIFF DWELLINGS, NM
#    USGS 09430500 GILA RIVER NEAR GILA, NM
#    USGS 09430600 MOGOLLON CREEK NEAR CLIFF, NM
#    USGS 09431500 GILA RIVER NEAR REDROCK, NM
#    USGS 09442681 SAN FRANCISCO RIVER AT RESERVE, NM
#    USGS 09444000 SAN FRANCISCO RIVER NEAR GLENWOOD, NM
#    USGS 321740106481001 MBOWN-33 - 23S.01E.23.244A (LC-3A)
#    USGS 321740106481003 MBOWN-35 - 23S.01E.23.244C (LC-3C)
#    USGS 321740106481004 MBOWN-36 - 23S.01E.23.244D (LC-3D)
#    USGS 321745106492101 MBOWN-29 - 23S.01E.22.241A (LC-2A)
#    USGS 321745106492102 MBOWN-30 - 23S.01E.22.241B (LC-2B)
#    USGS 321745106492103 MBOWN-31 - 23S.01E.22.241C (LC-2C)
#    USGS 321745106492106 MBOWN-32 - 23S.01E.22.241F (LC-2F)
#    USGS 345900106411201 09N.02E.25.122F PERS-T2
#    USGS 350310106402430 Westside Comm. Center Nr Albuquerque, NM
#    USGS 350405106274630 Echo Canyon Rain Gage nr Carnuel, NM
#    USGS 350726106314230 MITCHELL ELEMENTARY
#    USGS 351140106381230 Alameda Pump Station Rain Gage
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 07199450
#    TS_ID       Parameter Description
#    100981      00054     Reservoir storage, acre-feet
#    100980      62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	100981_00054	100981_00054_cd	100980_62614	100980_62614_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07199450	2021-03-26 12:45	MDT	3377	P	7508.39	P
# Data provided for site 07202500
#    TS_ID       Parameter Description
#    100983      00060     Discharge, cubic feet per second
#    100984      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	100983_00060	100983_00060_cd	100984_00065	100984_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07202500	2021-03-26 12:45	MDT	0.00	P	0.92	P
# Data provided for site 07203000
#    TS_ID       Parameter Description
#    100986      00060     Discharge, cubic feet per second
#    100987      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	100986_00060	100986_00060_cd	100987_00065	100987_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07203000	2021-03-26 12:45	MDT	4.86	P	3.12	P
# Data provided for site 07205500
#    TS_ID       Parameter Description
#    234048      00045     Precipitation, total, inches
#    100989      00054     Reservoir storage, acre-feet
#    100991      62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	234048_00045	234048_00045_cd	100989_00054	100989_00054_cd	100991_62614	100991_62614_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	07205500	2021-03-26 13:10	MDT	0.00	P	36540	P	8172.21	P
# Data provided for site 07206000
#    TS_ID       Parameter Description
#    100992      00060     Discharge, cubic feet per second
#    100993      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	100992_00060	100992_00060_cd	100993_00065	100993_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07206000	2021-03-26 13:15	MDT	3.10	P	0.34	P
# Data provided for site 07207500
#    TS_ID       Parameter Description
#    234047      00045     Precipitation, total, inches
#    100998      00060     Discharge, cubic feet per second
#    100999      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	234047_00045	234047_00045_cd	100998_00060	100998_00060_cd	100999_00065	100999_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	07207500	2021-03-26 13:20	MDT	0.00	P	6.09	P	1.76	P
# Data provided for site 07211500
#    TS_ID       Parameter Description
#    101004      00060     Discharge, cubic feet per second
#    101005      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101004_00060	101004_00060_cd	101005_00065	101005_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07211500	2021-03-26 13:00	MDT	0.17	P	3.12	P
# Data provided for site 07214670
#    TS_ID       Parameter Description
#    213766      00060     Discharge, cubic feet per second
#    213763      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	213766_00060	213766_00060_cd	213763_00065	213763_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07214670	2021-03-26 13:00	MDT	0.02	P	3.28	P
# Data provided for site 07214680
#    TS_ID       Parameter Description
#    101011      00060     Discharge, cubic feet per second
#    101010      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101011_00060	101011_00060_cd	101010_00065	101010_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07214680	2021-03-26 13:00	MDT	0.00	P	3.41	P
# Data provided for site 07215500
#    TS_ID       Parameter Description
#    101013      00060     Discharge, cubic feet per second
#    101014      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101013_00060	101013_00060_cd	101014_00065	101014_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07215500	2021-03-26 13:15	MDT	6.19	P	4.82	P
# Data provided for site 07216500
#    TS_ID       Parameter Description
#    101016      00060     Discharge, cubic feet per second
#    101017      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101016_00060	101016_00060_cd	101017_00065	101017_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07216500	2021-03-26 13:00	MDT	5.33	P	1.26	P
# Data provided for site 07221500
#    TS_ID       Parameter Description
#    101022      00060     Discharge, cubic feet per second
#    101023      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101022_00060	101022_00060_cd	101023_00065	101023_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07221500	2021-03-26 13:15	MDT	3.63	P	0.93	P
# Data provided for site 07223500
#    TS_ID       Parameter Description
#    101025      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101025_00065	101025_00065_cd
5s	15s	20d	6s	14n	10s
USGS	07223500	2021-03-26 13:00	MDT	159.50	P
# Data provided for site 07226500
#    TS_ID       Parameter Description
#    101028      00060     Discharge, cubic feet per second
#    101029      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101028_00060	101028_00060_cd	101029_00065	101029_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07226500	2021-03-26 13:15	MDT	0.00	P	3.53	P
# Data provided for site 07227000
#    TS_ID       Parameter Description
#    101034      00060     Discharge, cubic feet per second
#    101035      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101034_00060	101034_00060_cd	101035_00065	101035_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07227000	2021-03-26 13:00	MDT	2.71	P	0.66	P
# Data provided for site 07227100
#    TS_ID       Parameter Description
#    101037      00060     Discharge, cubic feet per second
#    265521      00065     Gage height, feet, [Combined Active]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101037_00060	101037_00060_cd	265521_00065	265521_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	07227100	2021-03-26 13:00	MDT	9.06	P	1.73	P
# Data provided for site 08254000
#    TS_ID       Parameter Description
#    101052      00060     Discharge, cubic feet per second
#    101053      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     Ssn  Parameter monitored seasonally.
#
agency_cd	site_no	datetime	tz_cd	101052_00060	101052_00060_cd	101053_00065	101053_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	08254000	2021-03-26 13:00	MDT	Ssn	P	Ssn	P
# Data provided for site 08261000
#    TS_ID       Parameter Description
#    101058      00060     Discharge, cubic feet per second
#    101059      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     Ssn  Parameter monitored seasonally.
#
agency_cd	site_no	datetime	tz_cd	101058_00060	101058_00060_cd	101059_00065	101059_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	08261000	2021-03-26 13:15	MDT	Ssn	P	Ssn	P
# Data provided for site 08265000
#    TS_ID       Parameter Description
#    101064      00060     Discharge, cubic feet per second
#    278252      00065     Gage height, feet, [Combined Active]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	101064_00060	101064_00060_cd	278252_00065	278252_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	08265000	2021-03-26 13:00	MDT	16.6	P	2.25	P
# Data provided for site 08266820
#    TS_ID       Parameter Description
#    101067      00060     Discharge, cubic feet per second
#    269184      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
