# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-03-26 15:36:26 -04:00	(natwebcaas01)
#
# Data for the following 97 site(s) are contained in this file
#    USGS 09415558 HOT CK NR SUNNYSIDE, NV
#    USGS 09415908 PEDERSON E SPGS NR MOAPA, NV
#    USGS 09415910 PEDERSON SPGS NR MOAPA, NV
#    USGS 09416000 MUDDY RV NR MOAPA, NV
#    USGS 09417500 MEADOW VALLEY WASH AT EAGLE CYN NR URSINE, NV
#    USGS 09418500 MEADOW VALLEY WASH NR CALIENTE, NV
#    USGS 09418700 MEADOW VALLEY WASH NR ROX, NV
#    USGS 09419530 VIRGIN RV BLW CONF OF MUDDY RV NR OVERTON, NV
#    USGS 09419550 ROGERS SPNG NR OVERTON BEACH, NV
#    USGS 09419625 CORN CK SPGS AT NATIONAL FISH & WILDLIFE HDQRS, NV
#    USGS 09419665 SLOAN CHANNEL AT CHARLESTON BLVD NR LAS VEGAS, NV
#    USGS 094196783 LV WASH BLW FLAMINGO WASH CONFL NR LAS VEGAS, NV
#    USGS 094196784 LAS VEGAS WASH AT VEGAS VALLEY DR NR LAS VEGAS, NV
#    USGS 09419679 LAS VEGAS WASTEWAY NR E LAS VEGAS, NV
#    USGS 09419745 C-1 CHANNEL ABV MOUTH NR HENDERSON, NV
#    USGS 09419753 LV WASH ABV THREE KIDS WASH BLW HENDERSON, NV
#    USGS 09419800 LV WASH BLW LAKE LAS VEGAS NR BOULDER CITY, NV
#    USGS 10243260 LEHMAN CK NR BAKER, NV
#    USGS 10243700 CLEVE CK NR ELY, NV
#    USGS 10244950 STEPTOE CK NR ELY, NV
#    USGS 10249300 S TWIN RV NR ROUND MOUNTAIN, NV
#    USGS 10288500 WALKER LAKE NR HAWTHORNE, NV
#    USGS 10300600 WALKER RV AT SNYDER LN NR MASON, NV
#    USGS 10301115 WALKER RVR BLW YERINGTON WEIR NR YERINGTON, NV
#    USGS 10301500 WALKER RV NR WABUSKA, NV
#    USGS 10301742 CANAL NO 2 ABV LITTLE DAM NR SCHURZ, NV
#    USGS 10301755 CANAL NO 1 BLW LITTLE DAM NR SCHURZ, NV
#    USGS 10302002 WALKER RV AT LATERAL 2-A SIPHON NR SCHURZ, NV
#    USGS 10302025 WALKER RV NR MOUTH AT WALKER LAKE, NV
#    USGS 10309000 E FK CARSON RV NR GARDNERVILLE, NV
#    USGS 10309010 E FK CARSON RV NR DRESSLERVILLE, NV
#    USGS 10311000 CARSON RV NR CARSON CITY, NV
#    USGS 10311100 KINGS CYN CK NR CARSON CITY, NV
#    USGS 10311300 EAGLE VALLEY CK AT CARSON CITY, NV
#    USGS 10311400 CARSON RV AT DEER RUN RD NR CARSON CITY, NV
#    USGS 10312000 CARSON RV NR FORT CHURCHILL, NV
#    USGS 10312150 CARSON RV BLW LAHONTAN RESERVOIR NR FALLON, NV
#    USGS 10312275 CARSON RV AT TARZYN RD NR FALLON, NV
#    USGS 10315500 MARYS RV ABV HOT SPGS CK NR DEETH, NV
#    USGS 10316500 LAMOILLE CK NR LAMOILLE, NV
#    USGS 10317500 N FK HUMBOLDT RV AT DEVILS GATE NR HALLECK, NV
#    USGS 10318500 HUMBOLDT RV NR ELKO, NV
#    USGS 10319900 S FK HUMBOLDT RV ABV TENMILE CK NR ELKO, NV
#    USGS 10320000 S FK HUMBOLDT RV ABV DIXIE CK NR ELKO, NV
#    USGS 10321000 HUMBOLDT RV NR CARLIN, NV
#    USGS 10322000 MAGGIE CK AT CARLIN, NV
#    USGS 10322150 MARYS CK AT CARLIN, NV
#    USGS 10322500 HUMBOLDT RV AT PALISADE, NV
#    USGS 10322505 HORSE CK AT HORSE CYN NR GARDEN GATE PASS, NV
#    USGS 103225055 WILLOW CK AT ALLISON RANCH NR GARDEN GATE PASS, NV
#    USGS 10322800 PINE CK AT MODARELLI MINE RD NR HAY RANCH, NV
#    USGS 10324500 ROCK CK NR BATTLE MOUNTAIN, NV
#    USGS 10324700 BOULDER CK NR DUNPHY, NV
#    USGS 10325000 HUMBOLDT RV AT BATTLE MOUNTAIN, NV
#    USGS 10327500 HUMBOLDT RV AT COMUS, NV
#    USGS 10329000 L HUMBOLDT RV NR PARADISE VALLEY, NV
#    USGS 10329500 MARTIN CK NR PARADISE VALLEY, NV
#    USGS 10333000 HUMBOLDT RV NR IMLAY, NV
#    USGS 10336698 THIRD CK NR CRYSTAL BAY, NV
#    USGS 10336700 INCLINE CK NR CRYSTAL BAY, NV
#    USGS 10336710 MARLETTE LAKE NR CARSON CITY, NV
#    USGS 10336715 MARLETTE CK NR CARSON CITY, NV
#    USGS 10347460 TRUCKEE RV NR MOGUL, NV
#    USGS 10347600 HUNTER CK NR RENO, NV
#    USGS 10348000 TRUCKEE RV AT RENO, NV
#    USGS 10348200 TRUCKEE RV NR SPARKS, NV
#    USGS 10348245 N TRUCKEE DRAIN AT SPANISH SPRINGS RD NR SPARK, NV
#    USGS 10348570 WINTERS CK BLW US ALT 395 NR WASHOE CITY, NV
#    USGS 10349300 STEAMBOAT CK AT STEAMBOAT, NV
#    USGS 10349849 STEAMBOAT CK AT SHORT LN AT RENO, NV
#    USGS 10349980 STEAMBOAT CK AT CLEANWATER WAY NR RENO, NV
#    USGS 10350000 TRUCKEE RV AT VISTA, NV
#    USGS 10350340 TRUCKEE RV NR TRACY, NV
#    USGS 10351400 TRUCKEE CANAL NR HAZEN, NV
#    USGS 10351600 TRUCKEE RV BLW DERBY DAM NR WADSWORTH, NV
#    USGS 10351650 TRUCKEE RV AT WADSWORTH, NV
#    USGS 10351700 TRUCKEE RV NR NIXON, NV
#    USGS 103530001 QUINN RV BLW CONFL E FK S FK QUINN NR MC DERMITT
#    USGS 13162225 JARBIDGE RV BLW JARBIDGE, NV
#    USGS 13174000 WILD HORSE RES NR GOLD CR, NV
#    USGS 13174500 OWYHEE RV NR GOLD CK, NV
#    USGS 13175100 OWYHEE RV NR MOUNTAIN CITY, NV
#    USGS 355906115492601 162  S23 E55 05BAAB1    STUMP SPRING
#    USGS 360310115303201 163  S22 E58 07ADDA1    RAINBOW SPRING
#    USGS 360956115432801 162  S20 E56 31DADA1    KIUP SPRING
#    USGS 361232115061001 212  S20 E61 13ABDB1    CNLV Diana Terrace
#    USNPS 362532116172701 230 S17 E50 36DC 2 USNPS - Devils Hole
#    USGS 362605114163001 BEAR PAW POPPY SPRING OUTFLOW NR LAKE MEAD, NV
#    USGS 362727116013501 230  S17 E53 21CAC 1    Grapevine Springs
#    USGS 362727116013502 230  S17 E53 21CAC 2    Grapevine Springs Precip
#    USGS 362734114124201 RED ROCK SPRINGS OUTFLOW NR LAKE MEAD, NV
#    USGS 364650114432001 219  S13 E65 28BDBA1    USGS CSV-2
#    USGS 380531114534201 181  N03 E63 27CAA 1    USGS-MX (N. Dry Lake)
#    USGS 393310114475001 179  N20 E64 32CDAA2    USGS
#    USGS 393804116165801 139  N20 E51 06CCC 1    MUD SPRINGS DEEP
#    USGS 393804116165802 139  N20 E51 06CCC 2    MUD SPRINGS SHALLOW
#    USGS 401528119470501 097  N28 E20 31BACD1    USGS - Sand Pass Divide
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 09415558
#    TS_ID       Parameter Description
#    103620      00060     Discharge, cubic feet per second
#    103619      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103620_00060	103620_00060_cd	103619_00065	103619_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09415558	2021-03-26 12:15	PDT	14.6	P	7.73	P
# Data provided for site 09415908
#    TS_ID       Parameter Description
#    103644      00060     Discharge, cubic feet per second
#    103643      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103644_00060	103644_00060_cd	103643_00065	103643_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09415908	2021-03-26 12:15	PDT	0.12	P	5.47	P
# Data provided for site 09415910
#    TS_ID       Parameter Description
#    103647      00060     Discharge, cubic feet per second
#    103646      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103647_00060	103647_00060_cd	103646_00065	103646_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09415910	2021-03-26 12:00	PDT	0.09	P	9.36	P
# Data provided for site 09416000
#    TS_ID       Parameter Description
#    103657      00045     Precipitation, total, inches
#    103655      00060     Discharge, cubic feet per second
#    103656      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103657_00045	103657_00045_cd	103655_00060	103655_00060_cd	103656_00065	103656_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09416000	2021-03-26 12:15	PDT	0.00	P	44.8	P	1.89	P
# Data provided for site 09417500
#    TS_ID       Parameter Description
#    103659      00060     Discharge, cubic feet per second
#    103660      00065     Gage height, feet
#    103661      70969     DCP battery voltage, volts
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103659_00060	103659_00060_cd	103660_00065	103660_00065_cd	103661_70969	103661_70969_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09417500	2021-03-26 12:00	PDT					13.4	P
USGS	09417500	2021-03-26 12:15	PDT	7.28	P	4.80	P		
# Data provided for site 09418500
#    TS_ID       Parameter Description
#    103662      00060     Discharge, cubic feet per second
#    103663      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103662_00060	103662_00060_cd	103663_00065	103663_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09418500	2021-03-26 12:15	PDT	0.50	P	9.54	P
# Data provided for site 09418700
#    TS_ID       Parameter Description
#    265544      00060     Discharge, cubic feet per second
#    265387      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	265544_00060	265544_00060_cd	265387_00065	265387_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09418700	2021-03-26 12:00	PDT	3.03	P	25.97	P
# Data provided for site 09419530
#    TS_ID       Parameter Description
#    247145      00060     Discharge, cubic feet per second
#    247144      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	247145_00060	247145_00060_cd	247144_00065	247144_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09419530	2021-03-26 12:15	PDT	74.4	P	15.18	P
# Data provided for site 09419550
#    TS_ID       Parameter Description
#    103673      00060     Discharge, cubic feet per second
#    103674      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103673_00060	103673_00060_cd	103674_00065	103674_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09419550	2021-03-26 12:10	PDT	1.55	P	0.53	P
# Data provided for site 09419625
#    TS_ID       Parameter Description
#    103676      00060     Discharge, cubic feet per second
#    103677      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103676_00060	103676_00060_cd	103677_00065	103677_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09419625	2021-03-26 12:00	PDT	0.44	P	2.63	P
# Data provided for site 09419665
#    TS_ID       Parameter Description
#    103688      00045     Precipitation, total, inches
#    103687      00060     Discharge, cubic feet per second
#    103686      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103688_00045	103688_00045_cd	103687_00060	103687_00060_cd	103686_00065	103686_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09419665	2021-03-26 12:15	PDT	0.00	P	30.3	P	11.41	P
# Data provided for site 094196783
#    TS_ID       Parameter Description
#    103697      00045     Precipitation, total, inches
#    103695      00060     Discharge, cubic feet per second
#    103694      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103697_00045	103697_00045_cd	103695_00060	103695_00060_cd	103694_00065	103694_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	094196783	2021-03-26 12:00	PDT	0.00	P				
USGS	094196783	2021-03-26 12:10	PDT			11.2	P	16.07	P
# Data provided for site 094196784
#    TS_ID       Parameter Description
#    103700      00045     Precipitation, total, inches
#    103699      00060     Discharge, cubic feet per second
#    103698      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103700_00045	103700_00045_cd	103699_00060	103699_00060_cd	103698_00065	103698_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	094196784	2021-03-26 12:15	PDT	0.00	P				
USGS	094196784	2021-03-26 12:25	PDT			36.6	P	2.24	P
# Data provided for site 09419679
#    TS_ID       Parameter Description
#    103702      00060     Discharge, cubic feet per second
#    103703      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103702_00060	103702_00060_cd	103703_00065	103703_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09419679	2021-03-26 12:00	PDT	261	P	6.69	P
# Data provided for site 09419745
#    TS_ID       Parameter Description
#    103716      00045     Precipitation, total, inches
#    103715      00060     Discharge, cubic feet per second
#    103714      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103716_00045	103716_00045_cd	103715_00060	103715_00060_cd	103714_00065	103714_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	09419745	2021-03-26 12:15	PDT	0.00	P	0.00	P	33.75	P
# Data provided for site 09419753
#    TS_ID       Parameter Description
#    103718      00060     Discharge, cubic feet per second
#    103719      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103718_00060	103718_00060_cd	103719_00065	103719_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09419753	2021-03-26 12:15	PDT	217	P	33.95	P
# Data provided for site 09419800
#    TS_ID       Parameter Description
#    103725      00060     Discharge, cubic feet per second
#    103724      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103725_00060	103725_00060_cd	103724_00065	103724_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09419800	2021-03-26 12:25	PDT	245	P	4.63	P
# Data provided for site 10243260
#    TS_ID       Parameter Description
#    103737      00060     Discharge, cubic feet per second
#    103738      00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	103737_00060	103737_00060_cd	103738_00065	103738_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	10243260	2021-03-26 12:15	PDT	0.97	P	3.66	P
# Data provided for site 10243700
#    TS_ID       Parameter Description
#    103741      00060     Discharge, cubic feet per second
#    103742      00065     Gage height, feet
#
