GenusSpecies,Source,habitat,location,commonname,othernames,endemic,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open substratum spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates during drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Acanthogobius flavimanus,fishbase.de,anadromous,,Yellowfin goby,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,30,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Acanthopagrus butcheri,fishbase.de,anadromous,,Black bream,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,3,NA,3000000,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Achirus mazatlanus,FISHBASE.SE IUCN,anadromous,,Mazatlan sole,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,22.5,NA,3,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Acipenser transmontanus,http://www.fishtraits.info/,,North America,white sturgeon,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,320,24,104,350000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,TRUE,TRUE,FALSE,FALSE,FALSE,O
Acrocheilus alutaceus,http://www.fishtraits.info/,,North America,chiselmouth,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,30,4.5,8,18400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.1,31.7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Afurcagobius suppositus,https://fishesofaustralia.net.au/,anadromous,Australia,Southwestern goby,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,11,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NE,NA,NA,NA,NA,NA,O
Agonostomus monticola,,freshwater,North America,Mountain mullet,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,36,NA,NA,538238,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Agosia chrysogaster,http://www.fishtraits.info/,,North America,longfin dace,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,1,3,2500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,TRUE,FALSE,FALSE,FALSE,FALSE,O
Aldrichetta forsteri,https://fishesofaustralia.net.au/,anadromous,Australia,"Yelloweye Mullet,",,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,50,2.5,7,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Alosa chrysochloris,http://www.fishtraits.info/,"freshwater, brackish",North America,skipjack herring,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,50,2.5,4,300000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-2,33.2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
