GenusSpecies,Source,habitat,location,commonname,othernames,endemic,location2,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open.substratum.spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates.during.drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Acanthogobius flavimanus,fishbase.de,anadromous,"Asia, Oceania",yellowfin goby,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,30,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Agosia chrysogaster,http://www.fishtraits.info/,,North America,longfin dace,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,1,3,2500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,TRUE,FALSE,FALSE,FALSE,FALSE,O
Aldrichetta forsteri,https://fishesofaustralia.net.au/,anadromous,Australia,yelloweye mullet,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,50,2.5,7,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Alosa sapidissima,http://www.fishtraits.info/,,North America,American shad,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,76,4,7,500000,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Ambloplites rupestris,http://www.fishtraits.info/,freshwater,North America,rock bass,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,43,3,8,11000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.5,28.7,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Ameiurus catus,http://www.fishtraits.info/,freshwater,North America,white catfish,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,95,3.5,11,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.6,33,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Ameiurus melas,http://www.fishtraits.info/,,North America,black bullhead,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,66,2.5,5.5,5495,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-7.7,32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Ameiurus natalis,http://www.fishtraits.info/,,North America,yellow bullhead,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,47,2.5,7,7000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.3,31.8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Amniataba caudavittata,https://fishesofaustralia.net.au/,anadromous,Australia,yellowtail grunter,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,30,1.5,3,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NE,NA,NA,NA,NA,NA,O
Amniataba percoides,fishbase.se,freshwater,Australia,barred grunter,,FALSE,AUS,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Archoplites interruptus,http://www.fishtraits.info/,freshwater,North America,Sacramento perch,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,73,2.5,9,124720,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.7,34.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,FALSE,O
Astyanax mexicanus,http://www.fishtraits.info/,,North America,Mexican tetra,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,12,1,3.5,18714,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Atherinosoma microstoma,https://fishesofaustralia.net.au/,anadromous,Australia,smallmouth hardyhead,,FALSE,AUS,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10.7,1,1,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NE,NA,NA,NA,NA,NA,O
Atractosteus spatula,http://www.fishtraits.info/,,North America,alligator gar,,FALSE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,305,11,50,200000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.2,33.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,TRUE,TRUE,FALSE,FALSE,FALSE,O
Bidyanus welchi,fishbase.se,freshwater,Australia,Welch's grunter,,FALSE,AUS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,40,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Campostoma anomalum,http://www.fishtraits.info/,,North America,central stoneroller,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,22,2.5,5,4800,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-7.9,31.6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Campostoma ornatum,http://www.fishtraits.info/,,North America,Mexican stoneroller,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11.4,2,5,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,LC,TRUE,FALSE,TRUE,TRUE,FALSE,O
Carassius auratus,http://www.fishtraits.info/,,Worldwide,goldfish,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,59,3.5,41,400000,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,NA,NA,NA,NA,NA,O
Carpiodes carpio,http://www.fishtraits.info/,freshwater,North America,river carpsucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,64,3,10,300000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.8,33.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus ardens,http://www.fishtraits.info/,freshwater,North America,Utah sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,65,2.5,11,20000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.6,25.4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus catostomus,http://www.fishtraits.info/,,North America,longnose sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,64,4,12,60307,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus commersonii,http://www.fishtraits.info/,freshwater,North America,white sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,64,3,8,50000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
