"","site_no","dec_lat_va","dec_long_va"
"1","  5110010","-19.924722","138.113333"
"2","  5110030","-23.21596","144.08052"
"3","  5405030","-35.082194","138.725"
"4","  5405031","-35.111389","138.635"
"5","  5405035","-35.101306","138.673"
"6","  5405040","-34.855889","138.731306"
"7","  5405041","-34.9135","138.548611"
"8","  5405046","-34.973694","138.532611"
"9","  5405048","-34.955","138.535694"
"10","  5405050","-34.561611","138.7725"
"11","  5405051","-34.463194","139.058389"
"12","  5405070","-33.613","138.631611"
"13","  5405090","-31.954","138.100306"
"14","  5405095","-32.094694","138.291694"
"15","  5405100","-35.462111","138.582111"
"16","  5405105","-35.544194","138.579889"
"17","  5405130","-35.957111","136.697889"
"18","  5405180","-34.8717","138.7542"
"19","  5410100","-27.699806","140.843194"
"20","  5606010","-33.557502","120.897246"
"21","  5606020","-34.335584","118.664133"
"22","  5606030","-34.886107","117.999972"
"23","  5606040","-34.888691","117.087433"
"24","  5606042","-34.906187","116.788519"
"25","  5606045","-34.688861","116.523702"
"26","  5606050","-34.521693","115.899436"
"27","  5606060","-29.618637","115.290042"
"28","  5606080","-27.854905","114.545864"
"29","  5606090","-34.276087","115.302162"
"30","  5606100","-34.071508","115.619109"
"31","  5606110","-33.293943","116.44492"
"32","  5606120","-33.381434","116.581117"
"33","  5606125","-33.0871","116.0389"
"34","  5606130","-32.772174","116.084305"
"35","  5606135","-32.8114","116.1551"
"36","  5606140","-32.99341","116.427757"
"37","  5606145","-32.36805","116.012299"
"38","  5606160","-31.751071","116.02483"
"39","  5606170","-34.39","115.84"
"40","  5606175","-32.2299","116.1714"
"41","  5606180","-34.7667","116.3754"
"42","  5606190","-34.7668","116.6158"
"43","  5607030","-17.122976","124.986883"
"44","  5607060","-14.806127","126.498784"
"45","  5607080","-22.721569","118.973028"
"46","  5607085","-21.447177","116.876353"
"47","  5607200","-24.8276","113.7691"
"48","  5607300","-14.790789","126.792663"
"49","  5607400","-22.544261","115.49935"
"50","  5607410","-21.616186","115.922451"
"51","  5607450","-21.3331","116.1556"
"52","  5607451","-23.401374","119.794319"
"53","  5607500","-20.311417","119.249022"
"54","  5607600","-16.391782","125.059334"
"55","  5607700","-14.793768","126.209262"
"56","  5710060","-23.694781","133.8852"
"57","  5712090","-19.556224","134.23314"
"58","  5712100","-20.336049","134.226574"
