"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","x"
"1","USGS","06036805","Firehole River at Old Faithful, YNP","ST","44.45933","-110.82227","1","NAD83"," 7352","  5","NAVD88","10020007","dv","00010","00003"," 80769",NA,"wat",NA," 1645597","0","2006-10-01","2021-10-21"," 5456","06036805"
"2","USGS","06186500","Yellowstone River at Yellowstone Lk Outlet YNP","ST","44.56709","-110.38041","1","NAD83"," 7727.77",".01","NGVD29","10070001","dv","00010","00003"," 81388",NA,"wat",NA," 1645597","0","1983-10-01","1985-09-29","  616","06186500"
"3","USGS","06220800","WIND RIVER ABOVE RED CREEK, NEAR DUBOIS, WY","ST","43.44162","-109.45876","S","NAD83"," 6400"," 10","NGVD29","10080001","dv","00060","00003","160981",NA,"wat",NA," 1645423","0","1990-10-01","2021-10-21"," 9773","06220800"
"4","USGS","06221400","DINWOODY CREEK ABOVE LAKES, NEAR BURRIS, WY","ST","43.34617","-109.40878","S","NAD83"," 6500"," 20","NGVD29","10080001","dv","00060","00003","160982",NA,"wat",NA," 1645423","0","1957-10-01","2021-10-21","19748","06221400"
"5","USGS","06227600","WIND RIVER NEAR KINNEAR, WY","ST","43.14278","-108.70889","S","NAD83"," 5294.7","0.5","NAVD88","10080001","dv","00010","00003","161004",NA,"wat",NA," 1645597","0","2010-03-04","2017-06-15"," 2172","06227600"
"6","USGS","06253000","FIVEMILE CREEK NEAR SHOSHONI, WY","ST","43.22192","-108.21969","S","NAD83"," 4750"," 10","NGVD29","10080005","dv","00060","00003","161090",NA,"wat",NA," 1645423","0","1941-06-01","2021-10-21","25371","06253000"
"7","USGS","06278300","SHELL CREEK ABOVE SHELL CREEK RESERVOIR, WY","ST","44.50802","-107.40369","S","NAD83"," 9050"," 10","NGVD29","10080010","dv","00060","00003","161181",NA,"wat",NA," 1645423","0","1956-10-01","2021-10-21","23762","06278300"
"8","USGS","06280300","SOUTH FORK SHOSHONE RIVER NEAR VALLEY, WY","ST","44.20789","-109.55525","5","NAD83"," 6200"," 10","NGVD29","10080013","dv","00060","00003","161218",NA,"wat",NA," 1645423","0","1956-10-01","2021-10-21","23393","06280300"
"9","USGS","06281000","SOUTH FORK SHOSHONE RIVER AB BUFFALO BILL RES, WY","ST","44.41912","-109.25793","S","NAD83"," 5440"," 20","NGVD29","10080013","dv","00060","00003","161220",NA,"wat",NA," 1645423","0","1903-05-01","2021-10-21","20536","06281000"
"10","USGS","06285100","SHOSHONE RIVER NEAR LOVELL, WY","ST","44.83856","-108.43512","S","NAD83"," 3850"," 10","NGVD29","10080014","dv","00060","00003","161232",NA,"wat",NA," 1645423","0","1966-10-01","2021-10-21","20108","06285100"
